Time(s),ChangePercentage
2.38,0.45
2.58,0.47
2.78,0.48
2.98,0.00
3.18,0.48
3.38,0.48
3.58,0.47
3.78,0.46
3.98,0.46
4.18,0.46
4.38,0.46
4.58,0.46
4.78,0.00
4.98,0.47
5.18,0.47
5.38,0.58
5.58,0.47
5.78,0.48
5.98,0.48
6.18,0.46
6.38,0.45
6.58,0.46
6.78,0.00
6.98,0.46
7.18,0.47
7.38,0.48
7.58,0.47
7.78,0.47
7.98,0.47
8.18,0.47
8.38,0.48
8.58,0.00
8.78,0.48
8.98,0.47
9.18,0.46
9.38,0.46
9.58,0.47
9.78,0.48
9.98,0.48
10.18,0.47
10.38,0.46
10.58,0.00
10.78,0.47
10.98,0.48
11.18,0.48
11.38,0.47
11.58,0.46
11.78,0.47
11.98,0.47
12.18,0.46
12.38,0.00
12.58,0.47
12.78,0.48
12.98,0.46
13.18,0.47
13.38,0.48
13.58,0.48
13.78,0.47
13.98,0.47
14.18,0.48
14.38,0.00
14.58,0.48
14.78,0.46
14.98,0.45
15.18,0.46
15.38,0.46
15.58,22.32
15.78,0.86
15.98,0.00
16.18,0.43
16.38,0.44
16.58,0.44
16.78,0.43
16.98,0.41
17.18,0.40
17.38,0.42
17.58,0.44
17.78,0.00
17.98,0.44
18.18,0.44
18.38,0.43
18.58,0.42
18.78,0.41
18.98,0.42
19.18,0.43
19.38,0.43
19.58,0.42
19.78,0.00
19.98,0.43
20.18,0.44
20.38,0.44
20.58,0.42
20.78,0.43
20.98,0.42
21.18,0.41
21.38,0.00
21.58,0.41
21.78,0.42
21.98,0.30
22.18,0.43
22.38,0.42
22.58,0.41
22.78,0.41
22.98,0.42
23.18,0.42
23.38,0.00
23.58,0.41
23.78,0.00
23.98,0.42
24.18,0.44
24.38,0.43
24.58,0.40
24.78,0.42
24.98,0.42
25.18,0.42
25.38,0.00
25.58,0.42
25.78,0.42
25.98,0.43
26.18,0.42
26.38,0.42
26.58,0.43
26.78,0.43
26.98,0.43
27.18,0.41
27.38,0.43
27.58,0.00
27.78,0.43
27.98,0.43
28.18,0.42
28.38,0.41
28.58,0.41
28.78,0.43
28.98,13.57
29.18,0.40
29.38,0.00
29.58,0.41
29.78,0.42
29.98,0.43
30.18,0.44
30.38,0.43
30.58,0.43
30.78,0.43
