Time(s),ChangePercentage
2.38,0.42
2.58,0.42
2.78,0.42
2.98,0.42
3.18,0.00
3.38,0.43
3.58,0.43
3.78,0.41
3.98,0.42
4.18,0.00
4.38,0.42
4.58,0.43
4.78,0.44
4.98,0.43
5.18,0.42
5.38,0.42
5.58,0.00
5.78,0.41
5.98,0.41
6.18,0.43
6.38,0.43
6.58,0.00
6.78,0.43
6.98,0.43
7.18,0.43
7.38,0.43
7.58,0.43
7.78,0.00
7.98,0.44
8.18,0.44
8.38,0.43
8.58,0.42
8.78,0.00
8.98,0.42
9.18,0.42
9.38,0.42
9.58,0.42
9.78,0.00
9.98,0.42
10.18,0.42
10.38,0.41
10.58,0.43
10.78,0.43
10.98,0.00
11.18,0.44
11.38,0.43
11.58,0.42
11.78,0.43
11.98,0.00
12.18,0.43
12.38,0.41
12.58,0.42
12.78,19.90
12.98,0.42
13.18,0.00
13.38,0.41
13.58,0.42
13.78,0.42
13.98,0.42
14.18,0.41
14.38,0.00
14.58,0.42
14.78,0.43
14.98,0.42
15.18,0.00
15.38,0.42
15.58,0.42
15.78,0.41
15.98,0.41
16.18,0.42
16.38,0.00
16.58,0.41
16.78,0.41
16.98,0.42
17.18,0.42
17.38,0.42
17.58,0.00
17.78,0.41
17.98,0.40
18.18,0.42
18.38,0.43
18.58,0.41
18.78,0.00
18.98,0.41
19.18,0.41
19.38,0.40
19.58,0.41
19.78,0.00
19.98,0.42
20.18,0.41
20.38,0.41
20.58,0.42
20.78,0.00
20.98,0.42
21.18,0.42
21.38,0.41
21.58,0.42
21.78,0.41
21.98,0.00
22.18,0.42
22.38,0.43
22.58,0.43
22.78,0.42
22.98,0.42
23.18,0.00
23.38,0.42
23.58,0.41
23.78,0.41
23.98,0.42
24.18,0.00
24.38,0.42
24.58,12.08
24.78,0.41
24.98,0.41
25.18,0.41
25.38,0.00
25.58,0.40
25.78,0.40
25.98,0.42
26.18,0.43
26.38,0.43
26.58,0.00
26.78,0.42
26.98,0.41
27.18,0.42
27.38,0.42
27.58,0.00
27.78,0.41
27.98,0.41
28.18,0.41
28.38,0.42
28.58,0.43
28.78,0.00
28.98,0.42
29.18,0.42
29.38,0.41
29.58,0.41
29.78,0.00
29.98,0.43
30.18,0.43
30.38,0.43
30.58,0.42
30.78,0.42
30.98,0.00
31.18,0.42
31.38,0.41
31.58,0.43
31.78,0.42
31.98,0.00
32.18,0.40
32.38,0.42
32.58,0.41
32.78,0.40
32.98,0.40
33.18,0.00
33.38,0.40
33.58,0.41
33.78,0.42
33.98,0.43
34.18,0.00
34.38,0.43
34.58,0.43
34.78,0.00
34.98,0.42
35.18,0.28
35.38,0.41
35.58,0.42
35.78,0.42
35.98,0.43
36.18,12.43
36.38,0.00
36.58,0.42
36.78,0.41
36.98,0.41
37.18,0.41
37.38,0.41
37.58,0.00
37.78,0.42
37.98,0.43
38.18,0.43
38.38,0.43
38.58,0.00
38.78,0.42
38.98,0.42
39.18,0.42
39.38,0.43
39.58,0.43
39.78,0.00
39.98,0.42
40.18,0.42
40.38,0.41
40.58,0.41
40.78,0.00
40.98,0.42
41.18,0.41
41.38,0.40
41.58,0.41
41.78,0.43
41.98,0.00
42.18,0.41
42.38,0.41
42.58,0.41
42.78,0.42
42.98,0.43
43.18,0.00
43.38,0.43
43.58,0.42
43.78,0.41
43.98,0.41
44.18,0.00
44.38,0.40
44.58,0.41
44.78,0.43
44.98,0.43
45.18,0.42
45.38,0.00
45.58,0.41
45.78,0.42
45.98,0.43
46.18,0.41
46.38,0.00
46.58,0.42
46.78,0.43
46.98,0.42
47.18,0.41
47.38,0.41
47.58,0.00
47.78,0.41
47.98,11.66
48.18,0.42
48.38,0.42
48.58,0.42
48.78,0.00
48.98,0.43
49.18,0.43
49.38,0.43
49.58,0.42
49.78,0.00
49.98,0.42
50.18,0.42
50.38,0.42
50.58,0.42
50.78,0.00
50.98,0.41
51.18,0.43
51.38,0.42
51.58,0.42
51.78,0.42
51.98,0.41
52.18,0.00
52.38,0.42
52.58,0.42
52.78,0.41
52.98,0.42
53.18,0.00
53.38,0.43
53.58,0.43
53.78,0.42
53.98,0.41
54.18,0.41
54.38,0.00
54.58,0.41
54.78,0.41
54.98,0.41
55.18,0.40
55.38,0.00
55.58,0.41
55.78,0.42
55.98,0.43
56.18,0.42
56.38,0.00
56.58,0.42
56.78,0.42
56.98,0.43
57.18,0.43
57.38,0.00
57.58,0.43
57.78,0.43
57.98,0.43
58.18,0.43
58.38,0.43
58.58,0.00
58.78,0.42
58.98,0.42
59.18,0.42
59.38,0.41
59.58,11.86
59.78,0.00
59.98,0.41
60.18,0.41
60.38,0.43
60.58,0.43
60.78,0.43
60.98,0.00
61.18,0.41
61.38,0.40
61.58,0.42
61.78,0.43
61.98,0.00
62.18,0.43
62.38,0.43
62.58,0.41
62.78,0.40
62.98,0.41
63.18,0.00
63.38,0.42
63.58,0.41
63.78,0.42
63.98,0.40
64.18,0.00
64.38,0.40
64.58,0.41
64.78,0.42
64.98,0.42
65.18,0.43
65.38,0.00
65.58,0.42
65.78,0.42
65.98,0.41
66.18,0.40
66.38,0.00
66.58,0.40
66.78,0.40
66.98,0.40
67.18,0.41
67.38,0.40
67.58,0.00
67.78,0.40
67.98,0.42
68.18,0.42
68.38,0.42
68.58,0.42
68.78,0.00
68.98,0.43
69.18,0.42
69.38,0.42
69.58,0.43
69.78,0.00
69.98,0.42
70.18,0.42
70.38,0.42
70.58,0.41
70.78,0.40
70.98,0.00
71.18,0.41
71.38,10.53
71.58,0.43
71.78,0.42
71.98,0.00
72.18,0.42
72.38,0.42
72.58,0.42
72.78,0.42
72.98,0.00
73.18,0.42
73.38,0.43
73.58,0.42
73.78,0.42
73.98,0.42
74.18,0.42
74.38,0.00
74.58,0.43
74.78,0.42
74.98,0.42
75.18,0.43
75.38,0.00
75.58,0.42
75.78,0.42
75.98,0.43
76.18,0.42
76.38,0.42
76.58,0.00
76.78,0.42
76.98,0.41
77.18,0.40
77.38,0.40
77.58,0.00
77.78,0.40
77.98,0.41
78.18,0.42
78.38,0.41
78.58,0.00
78.78,0.40
78.98,0.42
79.18,0.43
79.38,0.43
79.58,0.43
79.78,0.00
79.98,0.41
80.18,0.42
80.38,0.43
80.58,0.42
80.78,0.40
80.98,0.00
81.18,0.41
81.38,0.42
81.58,0.43
81.78,0.43
81.98,0.00
82.18,0.43
82.38,0.41
82.58,0.40
82.78,0.41
82.98,0.00
83.18,11.16
83.38,0.43
83.58,0.42
83.78,0.42
83.98,0.42
84.18,0.00
84.38,0.42
84.58,0.43
84.78,0.42
84.98,0.42
85.18,0.42
85.38,0.00
85.58,0.42
85.78,0.42
85.98,0.42
86.18,0.42
86.38,0.00
86.58,0.41
86.78,0.40
86.98,0.40
87.18,0.40
87.38,0.41
87.58,0.00
87.78,0.41
87.98,0.42
88.18,0.42
88.38,0.42
88.58,0.42
88.78,0.00
88.98,0.42
89.18,0.41
89.38,0.40
89.58,0.41
89.78,0.00
89.98,0.41
90.18,0.41
90.38,0.43
90.58,0.42
90.78,0.42
90.98,0.00
91.18,0.43
91.38,0.41
91.58,0.41
91.78,0.42
91.98,0.00
92.18,0.41
92.38,0.41
92.58,0.42
92.78,0.42
92.98,0.43
93.18,0.00
93.38,0.43
93.58,0.43
93.78,0.42
93.98,0.42
94.18,0.00
94.38,0.42
94.58,0.42
94.78,15.09
94.98,0.43
95.18,0.43
95.38,0.00
95.58,0.41
95.78,0.41
95.98,0.42
96.18,0.43
96.38,0.00
96.58,0.43
96.78,0.43
96.98,0.43
97.18,0.43
97.38,0.43
97.58,0.00
97.78,0.41
97.98,0.40
98.18,0.41
98.38,0.42
98.58,0.00
98.78,0.41
98.98,0.41
99.18,0.42
99.38,0.41
99.58,0.41
99.78,0.00
99.98,0.41
100.18,0.42
100.38,0.43
100.58,0.41
100.78,0.00
100.98,0.42
101.18,0.43
101.38,0.42
101.58,0.41
101.78,0.42
101.98,0.00
102.18,0.41
102.38,0.40
102.58,0.40
102.78,0.40
102.98,0.42
103.18,0.00
103.38,0.43
103.58,0.42
103.78,0.41
103.98,0.42
104.18,0.00
104.38,0.43
104.58,0.43
104.78,0.43
104.98,0.43
105.18,0.43
105.38,0.00
105.58,0.41
105.78,0.41
105.98,0.42
106.18,0.43
106.38,0.00
106.58,15.14
106.78,0.41
106.98,0.43
107.18,0.43
107.38,0.43
107.58,0.00
107.78,0.43
107.98,0.43
108.18,0.43
108.38,0.41
108.58,0.00
108.78,0.40
108.98,0.42
109.18,0.41
109.38,0.41
109.58,0.42
109.78,0.00
109.98,0.41
110.18,0.41
110.38,0.42
110.58,0.42
110.78,0.00
110.98,0.43
111.18,0.43
111.38,0.41
111.58,0.40
111.78,0.42
111.98,0.00
112.18,0.43
112.38,14.28
112.58,0.43
112.78,0.42
112.98,0.42
113.18,0.00
113.38,0.43
113.58,0.42
113.78,0.41
113.98,0.42
114.18,0.00
114.38,13.28
