Time(s),ChangePercentage
2.38,0.00
2.58,0.29
2.78,0.29
2.98,0.00
3.18,0.29
3.38,0.00
3.58,0.29
3.78,0.00
3.98,0.00
4.18,0.28
4.38,0.00
4.58,0.28
4.78,0.00
4.98,0.29
5.18,0.00
5.38,0.28
5.58,0.00
5.78,0.28
5.98,0.00
6.18,0.28
6.38,0.00
6.58,0.28
6.78,0.00
6.98,0.29
7.18,0.00
7.38,0.29
7.58,0.00
7.78,0.29
7.98,0.00
8.18,0.28
8.38,0.00
8.58,0.00
8.78,0.28
8.98,0.00
9.18,0.29
9.38,0.00
9.58,0.28
9.78,0.00
9.98,0.28
10.18,0.00
10.38,0.28
10.58,0.00
10.78,0.28
10.98,0.00
11.18,0.28
11.38,0.00
11.58,0.28
11.78,0.00
11.98,0.29
12.18,0.00
12.38,0.28
12.58,0.00
12.78,0.27
12.98,0.00
13.18,0.29
13.38,0.01
13.58,0.00
13.78,0.28
13.98,0.00
14.18,0.28
14.38,0.00
14.58,0.28
14.78,0.00
14.98,0.27
15.18,0.00
15.38,0.27
15.58,0.00
15.78,0.27
15.98,0.00
16.18,0.28
16.38,0.00
16.58,0.28
16.78,0.00
16.98,0.28
17.18,0.00
17.38,0.28
17.58,0.01
17.78,0.27
17.98,0.00
18.18,0.00
18.38,0.27
18.58,0.00
18.78,0.28
18.98,0.00
19.18,0.29
19.38,0.00
19.58,0.29
19.78,0.00
19.98,0.28
20.18,0.00
20.38,0.27
20.58,0.00
20.78,0.27
20.98,0.00
21.18,0.28
21.38,0.00
21.58,0.28
21.78,0.00
21.98,16.98
22.18,0.00
22.38,0.38
22.58,0.00
22.78,0.38
22.98,0.00
23.18,0.38
23.38,0.00
23.58,0.00
23.78,0.37
23.98,0.00
24.18,0.37
24.38,0.00
24.58,0.39
24.78,0.00
24.98,0.40
25.18,0.00
25.38,0.40
25.58,0.00
25.78,0.41
25.98,0.00
26.18,0.41
26.38,0.00
26.58,0.40
26.78,0.00
26.98,0.40
27.18,0.00
27.38,0.40
27.58,0.00
27.78,0.39
27.98,0.00
28.18,0.39
28.38,0.00
28.58,0.00
28.78,0.40
28.98,0.00
29.18,0.39
29.38,0.00
29.58,0.39
29.78,0.02
29.98,0.42
30.18,0.00
30.38,0.41
30.58,0.00
30.78,0.41
30.98,0.00
31.18,0.39
31.38,0.00
31.58,0.38
31.78,0.00
31.98,0.39
32.18,0.00
32.38,0.39
32.58,0.00
32.78,0.38
32.98,0.00
33.18,0.39
33.38,0.00
33.58,0.00
33.78,0.40
33.98,0.41
34.18,0.00
34.38,0.00
34.58,0.39
34.78,0.00
34.98,0.39
35.18,0.00
35.38,0.40
35.58,0.00
35.78,0.39
35.98,0.00
36.18,0.39
36.38,0.00
36.58,0.39
36.78,0.00
36.98,0.38
37.18,0.00
37.38,0.38
37.58,0.00
37.78,0.39
37.98,0.00
38.18,0.40
38.38,0.00
38.58,11.04
38.78,0.00
38.98,0.00
39.18,0.39
39.38,0.00
39.58,0.39
39.78,0.00
39.98,0.39
40.18,0.00
40.38,0.39
40.58,0.00
40.78,0.39
40.98,0.00
41.18,0.40
41.38,0.00
41.58,0.39
41.78,0.00
41.98,0.40
42.18,0.00
42.38,0.39
42.58,0.00
42.78,0.39
42.98,0.00
43.18,0.39
43.38,0.00
43.58,0.39
43.78,0.00
43.98,0.00
44.18,0.41
44.38,0.00
44.58,0.39
44.78,0.00
44.98,0.39
45.18,0.00
45.38,0.39
45.58,0.00
45.78,0.38
45.98,0.00
46.18,0.39
46.38,0.00
46.58,0.40
46.78,0.00
46.98,0.39
47.18,0.00
47.38,0.39
47.58,0.00
47.78,0.40
47.98,0.00
48.18,0.40
48.38,0.00
48.58,0.00
48.78,0.40
48.98,0.00
49.18,0.39
49.38,0.00
49.58,0.39
49.78,0.00
49.98,0.41
50.18,0.00
50.38,0.40
50.58,0.00
50.78,0.40
50.98,0.00
51.18,0.40
51.38,0.00
51.58,0.40
51.78,0.00
51.98,0.40
52.18,0.00
52.38,0.40
52.58,0.00
52.78,0.39
52.98,0.00
53.18,0.39
53.38,0.00
53.58,0.00
53.78,0.40
53.98,0.00
54.18,0.40
54.38,0.00
54.58,0.39
54.78,0.00
54.98,0.39
55.18,0.00
55.38,12.18
55.58,0.00
55.78,0.39
55.98,0.00
56.18,0.38
56.38,0.00
56.58,0.38
56.78,0.00
56.98,0.38
57.18,0.00
57.38,0.38
57.58,0.00
57.78,0.39
57.98,0.00
58.18,0.40
58.38,0.00
58.58,0.39
58.78,0.00
58.98,0.00
59.18,0.40
59.38,0.00
59.58,0.40
59.78,0.00
59.98,0.39
60.18,0.00
60.38,0.39
60.58,0.00
60.78,0.40
60.98,0.00
61.18,0.40
61.38,0.00
61.58,0.40
61.78,0.00
61.98,0.40
62.18,0.00
62.38,0.40
62.58,0.00
62.78,0.39
62.98,0.00
63.18,0.39
63.38,0.00
63.58,0.00
63.78,0.40
63.98,0.00
64.18,0.40
64.38,0.00
64.58,0.41
64.78,0.00
64.98,0.40
65.18,0.00
65.38,0.40
65.58,0.00
65.78,0.41
65.98,0.00
66.18,0.41
66.38,0.00
66.58,0.39
66.78,0.00
66.98,0.39
67.18,0.00
67.38,0.39
67.58,0.00
67.78,0.39
67.98,0.00
68.18,0.40
68.38,0.00
68.58,0.00
68.78,0.38
68.98,0.00
69.18,0.39
69.38,0.00
69.58,0.39
69.78,0.00
69.98,0.38
70.18,0.00
70.38,0.38
70.58,0.00
70.78,0.38
70.98,0.00
71.18,0.39
71.38,0.00
71.58,0.40
71.78,0.00
71.98,0.40
72.18,0.00
72.38,0.40
72.58,0.00
72.78,0.40
72.98,0.00
73.18,0.40
73.38,0.00
73.58,0.40
