Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 2.4s: 0.4% different
Time 2.6s: 0.0% different
Time 2.8s: 0.4% different
Time 3.0s: 0.4% different
Time 3.2s: 0.0% different
Time 3.4s: 0.4% different
Time 3.6s: 0.4% different
Time 3.8s: 0.0% different
Time 4.0s: 0.4% different
Time 4.2s: 0.4% different
Time 4.4s: 0.0% different
Time 4.6s: 0.4% different
Time 4.8s: 0.4% different
Time 5.0s: 0.0% different
Time 5.2s: 0.4% different
Time 5.4s: 0.5% different
Time 5.6s: 0.4% different
Time 5.8s: 0.4% different
Time 6.0s: 0.4% different
Time 6.2s: 0.0% different
Time 6.4s: 0.4% different
Time 6.6s: 0.4% different
Time 6.8s: 0.0% different
Time 7.0s: 0.4% different
Time 7.2s: 0.4% different
Time 7.4s: 0.4% different
Time 7.6s: 0.0% different
Time 7.8s: 0.4% different
Time 8.0s: 0.4% different
Time 8.2s: 0.0% different
Time 8.4s: 0.4% different
Time 8.6s: 0.4% different
Time 8.8s: 0.0% different
Time 9.0s: 0.4% different
Time 9.2s: 0.0% different
Time 9.4s: 0.4% different
Time 9.6s: 0.4% different
Time 9.8s: 0.4% different
Time 10.0s: 0.0% different
Time 10.2s: 0.4% different
Time 10.4s: 0.4% different
Time 10.6s: 0.0% different
Time 10.8s: 0.4% different
Time 11.0s: 0.4% different
Time 11.2s: 0.0% different
Time 11.4s: 0.4% different
Time 11.6s: 0.4% different
Time 11.8s: 0.0% different
Time 12.0s: 0.4% different
Time 12.2s: 0.4% different
Time 12.4s: 0.0% different
Time 12.6s: 0.4% different
Time 12.8s: 0.4% different
Time 13.0s: 0.0% different
Time 13.2s: 0.4% different
Time 13.4s: 0.4% different
Time 13.6s: 0.0% different
Time 13.8s: 0.4% different
Time 14.0s: 0.4% different
Time 14.2s: 0.0% different
Time 14.4s: 0.4% different
Time 14.6s: 0.4% different
Time 14.8s: 0.4% different
Time 15.0s: 0.0% different
Time 15.2s: 0.4% different
Time 15.4s: 0.0% different
Time 15.6s: 0.4% different
Time 15.8s: 0.6% different
Time 16.0s: 0.4% different
Time 16.2s: 0.0% different
Time 16.4s: 22.5% different

>>> SCREENSHOT A CAPTURED at 16.4s (22.5% >= 4.0%)
Time 16.6s: 0.0% different
Time 16.8s: 0.3% different
Time 17.0s: 0.3% different
Time 17.2s: 0.3% different
Time 17.4s: 0.0% different
Time 17.6s: 0.3% different
Time 17.8s: 0.0% different
Time 18.0s: 0.3% different
Time 18.2s: 0.3% different
Time 18.4s: 0.3% different
Time 18.6s: 0.0% different
Time 18.8s: 0.3% different
Time 19.0s: 0.3% different
Time 19.2s: 0.0% different
Time 19.4s: 0.3% different
Time 19.6s: 0.3% different
Time 19.8s: 0.0% different
Time 20.0s: 0.3% different
Time 20.2s: 0.3% different
Time 20.4s: 0.0% different
Time 20.6s: 0.3% different
Time 20.8s: 0.3% different
Time 21.0s: 0.0% different
Time 21.2s: 0.0% different
Time 21.4s: 0.3% different
Time 21.6s: 0.0% different
Time 21.8s: 0.3% different
Time 22.0s: 0.0% different
Time 22.2s: 0.3% different
Time 22.4s: 0.3% different
Time 22.6s: 0.0% different
Time 22.8s: 0.3% different
Time 23.0s: 0.3% different
Time 23.2s: 0.3% different
Time 23.4s: 0.0% different
Time 23.6s: 0.3% different
Time 23.8s: 0.3% different
Time 24.0s: 0.0% different
Time 24.2s: 0.3% different
Time 24.4s: 0.3% different
Time 24.6s: 0.3% different
Time 24.8s: 0.0% different
Time 25.0s: 0.3% different
Time 25.2s: 0.0% different
Time 25.4s: 0.3% different
Time 25.6s: 0.3% different
Time 25.8s: 0.0% different
Time 26.0s: 0.3% different
Time 26.2s: 0.3% different
Time 26.4s: 0.0% different
Time 26.6s: 0.3% different
Time 26.8s: 0.3% different
Time 27.0s: 0.3% different
Time 27.2s: 0.0% different
Time 27.4s: 0.3% different
Time 27.6s: 0.0% different
Time 27.8s: 0.3% different
Time 28.0s: 0.3% different
Time 28.2s: 0.3% different
Time 28.4s: 0.0% different
Time 28.6s: 0.3% different
Time 28.8s: 0.3% different
Time 29.0s: 0.0% different
Time 29.2s: 0.3% different
Time 29.4s: 0.3% different
Time 29.6s: 0.0% different
Time 29.8s: 0.3% different
Time 30.0s: 0.3% different
Time 30.2s: 0.0% different
Time 30.4s: 0.3% different
Time 30.6s: 12.2% different

>>> SCREENSHOT A CAPTURED at 30.6s (12.2% >= 4.0%)
Time 30.8s: 0.0% different
Time 31.0s: 0.3% different
Time 31.2s: 0.3% different
Time 31.4s: 0.0% different
Time 31.6s: 0.3% different
Time 31.8s: 0.3% different
Time 32.0s: 0.0% different
Time 32.2s: 0.3% different
Time 32.4s: 0.3% different
Time 32.6s: 0.0% different
Time 32.8s: 0.3% different
Time 33.0s: 0.3% different
Time 33.2s: 0.0% different
Time 33.4s: 0.3% different
Time 33.6s: 0.3% different
Time 33.8s: 0.0% different
Time 34.0s: 0.3% different
Time 34.2s: 0.3% different
Time 34.4s: 0.0% different
Time 34.6s: 0.3% different
Time 34.8s: 0.3% different
Time 35.0s: 0.0% different
Time 35.2s: 0.3% different
Time 35.4s: 0.3% different
Time 35.6s: 0.3% different
Time 35.8s: 0.0% different
Time 36.0s: 0.3% different
Time 36.2s: 0.0% different
Time 36.4s: 0.3% different
Time 36.6s: 0.3% different
Time 36.8s: 0.0% different
Time 37.0s: 0.3% different
Time 37.2s: 0.3% different
Time 37.4s: 0.3% different
Time 37.6s: 0.0% different
Time 37.8s: 0.3% different
Time 38.0s: 0.3% different
Time 38.2s: 0.0% different
Time 38.4s: 0.3% different
Time 38.6s: 0.3% different
Time 38.8s: 0.0% different
Time 39.0s: 0.3% different
Time 39.2s: 0.0% different
Time 39.4s: 0.3% different
Time 39.6s: 0.3% different
Time 39.8s: 0.3% different
Time 40.0s: 0.0% different
Time 40.2s: 0.3% different
Time 40.4s: 0.3% different
Time 40.6s: 0.0% different
Time 40.8s: 0.3% different
Time 41.0s: 0.3% different
Time 41.2s: 0.0% different
Time 41.4s: 0.3% different
Time 41.6s: 0.3% different
Time 41.8s: 0.0% different
Time 42.0s: 0.3% different
Time 42.2s: 0.3% different
Time 42.4s: 0.0% different
Time 42.6s: 0.3% different
Time 42.8s: 0.3% different
Time 43.0s: 0.0% different
Time 43.2s: 0.3% different
Time 43.4s: 0.3% different
Time 43.6s: 0.0% different
Time 43.8s: 0.3% different
Time 44.0s: 0.3% different
Time 44.2s: 0.0% different
Time 44.4s: 0.3% different
Time 44.6s: 0.3% different
Time 44.8s: 0.0% different
Time 45.0s: 12.4% different

>>> SCREENSHOT A CAPTURED at 45.0s (12.4% >= 4.0%)
Time 45.2s: 0.3% different
Time 45.4s: 0.3% different
Time 45.6s: 0.0% different
Time 45.8s: 0.3% different
Time 46.0s: 0.0% different
Time 46.2s: 0.3% different
Time 46.4s: 0.3% different
Time 46.6s: 0.3% different
Time 46.8s: 0.0% different
Time 47.0s: 0.3% different
Time 47.2s: 0.3% different
Time 47.4s: 0.0% different
Time 47.6s: 0.3% different
Time 47.8s: 0.3% different
Time 48.0s: 0.0% different
Time 48.2s: 0.3% different
Time 48.4s: 0.0% different
Time 48.6s: 0.3% different
Time 48.8s: 0.3% different
Time 49.0s: 0.3% different
Time 49.2s: 0.0% different
Time 49.4s: 0.3% different
Time 49.6s: 0.3% different
Time 49.8s: 0.0% different
Time 50.0s: 0.3% different
